regions,departements,communes,district_dr,villages,id_men,culture_label,culture,superficie,production_kg,appreciation,principal_prod,principal_prod_other,transformer_production,type_transformation,type_transformation_other,destination_prod
Sédhiou,Sédhiou,DIANNAH BA,-,Karcia,2698,Pastèque,Pastèque,1,1000,Un peu plus faible,Peu de pluies,,Non,,,
Fatick,Gossas,COLOBANE,-,Gaina Mbar,2699,Mil,Mil,1.5,500,Un peu plus faible,Perte de fertilité du sol,,Non,,,
Fatick,Gossas,COLOBANE,-,Gaina Mbar,2699,Sorgho,Sorgho,1,150,Un peu plus faible,Peu de pluies,,Non,,,
Fatick,Gossas,COLOBANE,-,Gaina Mbar,2699,Mais,Mais,2,800,Un peu plus faible,Perte de fertilité du sol,,Non,,,
Fatick,Gossas,COLOBANE,-,Gaina Mbar,2699,Riz,Riz,1,200,Un peu plus faible,Perte de fertilité du sol,,Non,,,
Fatick,Gossas,COLOBANE,-,Gaina Mbar,2699,Niébé,Niébé,.5,20,Un peu plus faible,Insectes,,Non,,,
Fatick,Gossas,COLOBANE,-,Gaina Mbar,2699,Arachide,Arachide,1,300,Un peu plus faible,Perte de fertilité du sol,,Non,,,
Fatick,Gossas,COLOBANE,-,Gaina Mbar,2699,Gombo,Gombo,1,400,Un peu plus faible,Perte de fertilité du sol,,Non,,,
Kaolack,Nioro,POROKHANE,-,Mbapp,2700,Mil,Mil,1.5,1000,La même,,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaolack,Nioro,POROKHANE,-,Mbapp,2700,Arachide,Arachide,2,1000,La même,,,Oui toute la production,Décorticage,,Vente
Kaffrine,Malem Hoddar,SAGNA,-,Niahene,2701,Mil,Mil,1,200,Un peu plus faible,Peu de pluies,,Oui moins de la moitié de la production,Mouture (farine),,Autoconsommation
Kaffrine,Malem Hoddar,SAGNA,-,Niahene,2701,Mais,Mais,1,130,Beaucoup plus faible,Peu de pluies,,Oui moins de la moitié de la production,Mouture (farine),,Autoconsommation
Kaffrine,Malem Hoddar,SAGNA,-,Niahene,2701,Arachide,Arachide,1,400,Un peu plus faible,Peu de pluies,,Oui moins de la moitié de la production,Décorticage,,Autoconsommation & Vente
Kolda,Velingara,NEMATABA,-,Missira Adioubi,2702,Sorgho,Sorgho,.5,21,Beaucoup plus faible,Perte de fertilité du sol,,Oui toute la production,Mouture (farine),,Autoconsommation
Ziguinchor,Oussouye,OUKOUT,-,Carounate,2703,Riz,Riz,1.3,400,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Brisure,,Autoconsommation
Tambacounda,Tambacounda,MAKACOULIBATANG,-,Sinthiou Dieka,2704,Sorgho,Sorgho,1.2743,650,Un peu plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Tambacounda,Tambacounda,MAKACOULIBATANG,-,Sinthiou Dieka,2704,Mais,Mais,1.2743,600,Un peu plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Tambacounda,Tambacounda,MISSIRAH,-,Touba,2705,Mil,Mil,1,800,La même,,,Oui plus de la moitié de la production,Mouture (farine),,Autoconsommation
Tambacounda,Tambacounda,MISSIRAH,-,Touba,2705,Mais,Mais,2,1500,Un peu plus faible,Perte de fertilité du sol,,Oui la moitié de la production,Mouture (farine),,Autoconsommation
Tambacounda,Tambacounda,MISSIRAH,-,Touba,2705,Arachide,Arachide,1,950,La même,,,Oui moins de la moitié de la production,Décorticage,,Autoconsommation & Vente
Louga,Kébémer,NDANDE,-,Ndande,2706,Pastèque,Pastèque,.6000000000000001,1701,Beaucoup plus faible,Peu de pluies,,Non,,,
Tambacounda,Tambacounda,KOUSSANAR,-,Koussanar Escale,2707,Arachide,Arachide,2.7416,1800,Beaucoup plus faible,other,Arrêt précoce des pluies,Oui moins de la moitié de la production,Décorticage,,Autoconsommation & Vente
Thiès,Mbour,N!GUENIENE,-,Adama gackou,2708,Mil,Mil,.294,935,Un peu plus élevée,,,Non,,,
Louga,Linguère,SAGATTA DJOLOF,-,Ndiayene Sapeinda,2709,Mil,Mil,1,400,Beaucoup plus faible,Peu de pluies,,Non,,,
Louga,Linguère,SAGATTA DJOLOF,-,Ndiayene Sapeinda,2709,Niébé,Niébé,.5,500,Un peu plus faible,Peu de pluies,,Non,,,
Louga,Linguère,SAGATTA DJOLOF,-,Ndiayene Sapeinda,2709,Arachide,Arachide,5.500000000000001,2200,Un peu plus faible,Peu de pluies,,Oui moins de la moitié de la production,Décorticage,,Autoconsommation
Kaffrine,Kaffrine,KAHI,-,Ngodiba,2710,Mil,Mil,2,500,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaffrine,Kaffrine,KAHI,-,Ngodiba,2710,Arachide,Arachide,2,200,Beaucoup plus faible,Peu de pluies,,Non,,,
Thiès,Tivaouane,MERINA DAKHAR,-,Ndiakhate,2711,Mil,Mil,.5,50,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Brisure,,Autoconsommation
Tambacounda,Koumpentoum,KAHENE,-,Kaba,2712,Arachide,Arachide,2,700,Beaucoup plus faible,Peu de pluies,,Non,,,
Matam,Kanel,ORKADIERE,-,PADALAL,2713,Sorgho,Sorgho,2,1800,Un peu plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Matam,Kanel,ORKADIERE,-,PADALAL,2713,Mais,Mais,.5,200,Beaucoup plus faible,Perte de fertilité du sol,,Oui toute la production,Granulé,,Autoconsommation
Fatick,Gossas,COLOBANE,-,Colobane,2714,Mil,Mil,3,850,La même,,,Non,,,
Fatick,Gossas,COLOBANE,-,Colobane,2714,Arachide,Arachide,5,1300,La même,,,Non,,,
Thiès,Mbour,SINDIA,-,Guereo,2715,Mil,Mil,.3,100,Un peu plus faible,Peu de pluies,,Non,,,
Kolda,Velingara,NEMATABA,-,Missira Adioubi,2716,Sorgho,Sorgho,.5,260,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Kolda,Velingara,NEMATABA,-,Missira Adioubi,2716,Mais,Mais,.25,276,Un peu plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Kolda,Velingara,NEMATABA,-,Missira Adioubi,2716,Arachide,Arachide,.5,402,Un peu plus faible,Peu de pluies,,Oui moins de la moitié de la production,Décorticage,,Autoconsommation
Tambacounda,Tambacounda,NIANI TOUCOULEUR,-,Barsafo,2717,Mil,Mil,.6391,450,Un peu plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Tambacounda,Tambacounda,NIANI TOUCOULEUR,-,Barsafo,2717,Sorgho,Sorgho,.5999000000000001,200,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Tambacounda,Tambacounda,NIANI TOUCOULEUR,-,Barsafo,2717,Arachide,Arachide,1.6155,800,Un peu plus faible,Peu de pluies,,Non,,,
Ziguinchor,Ziguinchor,ADEANE,-,Agniack,2718,Riz,Riz,.25,250,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Décorticage,,Autoconsommation
Thiès,Mbour,FISSEL,-,Ndoffane,2719,Mil,Mil,2,900,La même,,,Oui la moitié de la production,Décorticage,,Autoconsommation
Thiès,Mbour,FISSEL,-,Ndoffane,2719,Sorgho,Sorgho,.5,80,La même,,,Oui la moitié de la production,Décorticage,,Autoconsommation
Thiès,Mbour,FISSEL,-,Ndoffane,2719,Riz,Riz,.4,30,Beaucoup plus faible,Peu de pluies,,Non,,,
Thiès,Mbour,FISSEL,-,Ndoffane,2719,Niébé,Niébé,1,60,Beaucoup plus faible,Insectes,,Oui moins de la moitié de la production,Décorticage,,Autoconsommation
Thiès,Mbour,FISSEL,-,Ndoffane,2719,Arachide,Arachide,1,200,Un peu plus élevée,,,Oui la moitié de la production,Décorticage,,Autoconsommation & Vente
Kolda,Kolda,GUIRO YERO BOCAR,-,Sinthiang Diouma,2720,Sorgho,Sorgho,2.5273,500,La même,,,Oui toute la production,Mouture (farine),,Autoconsommation
Kolda,Kolda,GUIRO YERO BOCAR,-,Sinthiang Diouma,2720,Mais,Mais,2.5273,1020,Un peu plus faible,Peu de pluies,,Oui plus de la moitié de la production,Mouture (farine),,Autoconsommation & Vente
Kaffrine,Birkelane,MABO,-,KASSAS,2721,Mil,Mil,1,700,Un peu plus faible,Perte de fertilité du sol,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaffrine,Birkelane,MABO,-,KASSAS,2721,Arachide,Arachide,3,1400,Beaucoup plus faible,Peu de pluies,,Oui moins de la moitié de la production,Décorticage,,Autoconsommation
Matam,Kanel,OURO SIDY,-,Ouro sidy,2722,Sorgho,Sorgho,.23,0,Beaucoup plus faible,Peu de pluies,,Non,,,
Diourbel,Bambey,GAWANE,-,Gawane,2723,Mil,Mil,1.5,690,Beaucoup plus faible,Peu de pluies,,Non,,,
Diourbel,Bambey,GAWANE,-,Gawane,2723,Niébé,Niébé,.7000000000000001,126,Beaucoup plus faible,Peu de pluies,,Non,,,
Diourbel,Bambey,GAWANE,-,Gawane,2723,Arachide,Arachide,1.5,0,Beaucoup plus faible,Peu de pluies,,Non,,,
Thiès,Mbour,SINDIA,-,Kiniabour 2,2724,Niébé,Niébé,.3,18,Beaucoup plus faible,Divagation du bétail,,Non,,,
Louga,Linguère,DEALI,-,Wandee,2725,Mil,Mil,2,600,La même,,,Oui la moitié de la production,Décorticage,,Autoconsommation & Vente
Louga,Linguère,DEALI,-,Wandee,2725,Sorgho,Sorgho,1,150,Un peu plus élevée,,,Oui la moitié de la production,Décorticage,,Autoconsommation & Vente
Louga,Linguère,DEALI,-,Wandee,2725,Arachide,Arachide,4,1000,Un peu plus élevée,,,Oui la moitié de la production,Décorticage,,Autoconsommation & Vente
Louga,Linguère,DEALI,-,Wandee,2725,Pastèque,Pastèque,1,2834,La même,,,Oui la moitié de la production,Décorticage,,Autoconsommation & Vente
Kaolack,Nioro,WACK NGOUNA,-,Keur mady yacine,2726,Mil,Mil,1,800,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Décorticage,,Autoconsommation
Kaolack,Nioro,WACK NGOUNA,-,Keur mady yacine,2726,Mais,Mais,1,200,Beaucoup plus faible,other,Manque d'engrais,Oui toute la production,Décorticage,,Autoconsommation
Kaolack,Nioro,WACK NGOUNA,-,Keur mady yacine,2726,Arachide,Arachide,2,1000,Un peu plus faible,Peu de pluies,,Oui toute la production,Décorticage,,Autoconsommation
Kaffrine,Kaffrine,KAHI,-,Ngodiba,2727,Mil,Mil,2,500,Beaucoup plus faible,Peu de pluies,,Oui plus de la moitié de la production,Mouture (farine),,Autoconsommation & Vente
Kaffrine,Kaffrine,KAHI,-,Ngodiba,2727,Arachide,Arachide,6.000000000000001,600,Beaucoup plus faible,Peu de pluies,,Non,,,
Kaolack,Guinguinéo,GAGNICK,-,Athiou thiambene,2728,Mil,Mil,2,1500,Un peu plus faible,Perte de fertilité du sol,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaolack,Guinguinéo,GAGNICK,-,Athiou thiambene,2728,Arachide,Arachide,3,1500,Un peu plus faible,Peu de pluies,,Non,,,
Kaolack,Kaolack,KEUR SOCE,-,Keur  Abdou   Mame,2729,Mil,Mil,3,300,Beaucoup plus faible,Peu de pluies,,Non,,,
Kaolack,Kaolack,KEUR SOCE,-,Keur  Abdou   Mame,2729,Mais,Mais,2,50,Beaucoup plus faible,Peu de pluies,,Non,,,
Kaolack,Kaolack,KEUR SOCE,-,Keur  Abdou   Mame,2729,Arachide,Arachide,4,1200,Beaucoup plus faible,Perte de fertilité du sol,,Non,,,
Kolda,Velingara,SINTHIANG KOUNDARA,-,Saremamadouegue,2730,Sorgho,Sorgho,2,1150,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Kolda,Velingara,SINTHIANG KOUNDARA,-,Saremamadouegue,2730,Mais,Mais,3,2100,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Kolda,Velingara,SINTHIANG KOUNDARA,-,Saremamadouegue,2730,Arachide,Arachide,2,2090,Un peu plus faible,Peu de pluies,,Oui moins de la moitié de la production,Décorticage,,Autoconsommation & Vente
Kolda,Velingara,SINTHIANG KOUNDARA,-,Saremamadouegue,2730,Coton,Coton,1,1400,La même,,,Non,,,
Ziguinchor,Oussouye,DJEMBERING,-,Etune,2731,Riz,Riz,.9500000000000001,350,Un peu plus élevée,,,Oui toute la production,Brisure,,Autoconsommation
Thiès,Mbour,SESSENE,-,Guediane,2732,Mil,Mil,.7315,600,Beaucoup plus élevée,,,Non,,,
Tambacounda,Koumpentoum,BAMBA THIALENE,-,Darou ndiawene,2733,Mil,Mil,2,300,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Tambacounda,Koumpentoum,BAMBA THIALENE,-,Darou ndiawene,2733,Mais,Mais,1,400,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Tambacounda,Koumpentoum,BAMBA THIALENE,-,Darou ndiawene,2733,Arachide,Arachide,3,1200,Beaucoup plus faible,Peu de pluies,,Non,,,
Thiès,Mbour,SINDIA,-,Kiniabour 2,2734,Niébé,Niébé,.8500000000000001,69,Beaucoup plus faible,Peu de pluies,,Oui toute la production,other,Mains,Autoconsommation
Thiès,Mbour,SINDIA,-,Kiniabour 2,2734,Arachide,Arachide,1.25,300,Beaucoup plus faible,Peu de pluies,,Oui toute la production,other,Mains,Autoconsommation
Kédougou,Salemata,OUBADJI,-,Back Back,2735,Mais,Mais,2.5,1200,Un peu plus élevée,,,Oui la moitié de la production,Mouture (farine),,Autoconsommation
Kédougou,Salemata,OUBADJI,-,Back Back,2735,Fonio,Fonio,.5,500,Beaucoup plus élevée,,,Oui la moitié de la production,other,Piétiner,Autoconsommation
Kédougou,Salemata,OUBADJI,-,Back Back,2735,Arachide,Arachide,2,2000,Beaucoup plus élevée,,,Oui la moitié de la production,Décorticage,,Autoconsommation
Ziguinchor,Bignona,DIEGOUNE,-,Diegoune,2736,Riz,Riz,.5,900,La même,,,Oui plus de la moitié de la production,Décorticage,,Autoconsommation
Ziguinchor,Bignona,DIEGOUNE,-,Diegoune,2736,Arachide,Arachide,1.5,1500,La même,,,Oui plus de la moitié de la production,Décorticage,,Vente
Diourbel,Mbacké,TOUBA FALL,-,Guele 2,2737,Mil,Mil,.52,150,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Diourbel,Mbacké,TOUBA FALL,-,Guele 2,2737,Niébé,Niébé,.5600000000000001,70,Beaucoup plus faible,Peu de pluies,,Non,,,
Diourbel,Mbacké,TOUBA FALL,-,Guele 2,2737,Arachide,Arachide,1,250,Beaucoup plus faible,Peu de pluies,,Oui plus de la moitié de la production,Décorticage,,Autoconsommation
Kolda,Velingara,NEMATABA,-,Sare Yira,2738,Mais,Mais,.25,311,Un peu plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Kolda,Velingara,NEMATABA,-,Sare Yira,2738,Arachide,Arachide,.5,485,Un peu plus faible,Peu de pluies,,Oui moins de la moitié de la production,Décorticage,,Autoconsommation
