"id_men","culture_label","superficie","production_kg"
328,"Arachide",1,350
328,"Niébé",2,100
329,"Arachide",2.7633,1400
329,"Mais",0.8572,200
329,"Mil",2.7633,850
330,"Arachide",1,200
330,"Niébé",1,63
331,"Arachide",6,2600
331,"Mil",4,2500
332,"Arachide",1,180
332,"Mais",2.25,800
332,"Sorgho",0.75,625
333,"Arachide",2,1200
333,"Mil",2,667
333,"Sorgho",2,600
333,"Sésame",1.5,200
334,"Arachide",0.5,100
334,"Mil",1,600
334,"Sorgho",1,250
335,"Arachide",0.5782,100
335,"Mais",0.2846,300
335,"Mil",0.3491,50
336,"Bissap",0.2292,45
336,"Niébé",0.2391,75
337,"Mil",1.9,350
337,"Niébé",0.9,180
338,"Arachide",3,1500
338,"Mil",2,700
339,"Niébé",2,200
340,"Mais",0.5,700
340,"Sorgho",1,1000
341,"Sorgho",0.3265,50
342,"Arachide",0.2774,200
342,"Mil",0.2123,111.35135
343,"Arachide",1,200
343,"Mais",1,400
343,"Mil",1,200
343,"Niébé",1,400
344,"Arachide",0.3844,500
344,"Mil",0.441,500
344,"Sorgho",0.0241,10
345,"Arachide",1,750
345,"Mais",1,400
345,"Riz",1,50
346,"Mais",1,50
346,"Mil",2,100
347,"Arachide",1.5,1400
347,"Mais",1.25,2240
347,"Riz",0.5,170
347,"Sorgho",1,645
348,"Arachide",3,2760
348,"Mais",2,675
348,"Riz",1.5,350
348,"Sorgho",1,720
349,"Riz",0.25,200
350,"Arachide",1,700
350,"Mil",1,600
350,"Niébé",1,90
351,"Arachide",1,250
351,"Mil",1,200
352,"Arachide",4,985
352,"Mil",3,1300
353,"Arachide",1,600
353,"Mais",1,1000
353,"Mil",1,250
354,"Arachide",4,200
354,"Mais",0.5,35
354,"Mil",3,1050
354,"Niébé",0.5,45
354,"Pastèque",0.5,359
355,"Arachide",1,500
355,"Mil",2.5,1600
355,"Niébé",0.3,150
356,"Arachide",2,0
356,"Mais",1,100
356,"Mil",2,250
357,"Arachide",2,200
357,"Mais",1,50
357,"Mil",2,1000
357,"Niébé",1,95
357,"Pastèque",1,350
357,"Sorgho",1,100
359,"Arachide",3,1800
359,"Niébé",1,150
360,"Mais",2,300
360,"Mil",2,600
361,"Riz",1,800
362,"Arachide",3,900
362,"Mil",1,350
362,"Niébé",2,60
363,"Arachide",1,308
363,"Mil",1,257
363,"Sorgho",0.325,65
364,"Arachide",1.6375,600
364,"Mais",2.4443,2000
365,"Arachide",4,800
366,"Arachide",2,480
367,"Arachide",7,307
367,"Mil",6,1091
